certificate_id,issue_date,expiry_date,status,revocation_date,api_endpoint,issuer,key_length,tls_version
CERT-1069,10/07/2024,23/04/2025,revoked,23/01/2025,/api/v2/service7,NetSecure CA,3072,TLS1.3
CERT-1070,03/07/2024,31/05/2025,active,,/api/v2/service25,SecureSign CA,3072,TLS1.3
CERT-1071,25/03/2024,22/03/2026,active,,/api/v2/service43,GlobalTrust CA,2048,TLS1.2
CERT-1072,14/02/2024,04/05/2025,revoked,20/03/2025,/api/v1/service49,PrimeCA,2048,TLS1.3
CERT-1073,03/07/2024,27/03/2025,revoked,05/03/2025,/api/v3/service12,GlobalTrust CA,2048,TLS1.2
CERT-1074,10/04/2024,08/05/2025,revoked,28/02/2025,/api/v3/service16,GlobalTrust CA,2048,TLS1.2
CERT-1075,11/05/2024,26/04/2026,active,,/api/v2/service30,PrimeCA,3072,TLS1.3
CERT-1076,01/04/2024,27/04/2025,revoked,15/04/2025,/api/v1/service44,GlobalTrust CA,4096,TLS1.3
CERT-1077,12/04/2024,20/03/2025,revoked,07/01/2025,/api/v1/service40,PrimeCA,3072,TLS1.2
CERT-1078,06/06/2024,28/02/2025,active,,/api/v2/service32,GlobalTrust CA,3072,TLS1.3
CERT-1079,02/07/2024,05/02/2025,revoked,15/12/2024,/api/v2/service3,GlobalTrust CA,4096,TLS1.3
CERT-1080,14/01/2024,09/11/2025,active,,/api/v5/service36,SecureSign CA,3072,TLS1.3
CERT-1081,27/05/2024,27/04/2026,active,,/api/v2/service7,GlobalTrust CA,4096,TLS1.2
CERT-1082,16/06/2024,25/12/2024,active,,/api/v4/service25,UniCA,4096,TLS1.2
CERT-1083,18/02/2024,05/06/2025,active,,/api/v1/service17,GlobalTrust CA,3072,TLS1.3
CERT-1084,08/06/2024,20/01/2025,revoked,11/11/2024,/api/v5/service2,UniCA,2048,TLS1.3
CERT-1085,18/04/2024,25/08/2025,active,,/api/v5/service33,PrimeCA,2048,TLS1.3
CERT-1086,21/04/2024,24/05/2025,revoked,09/05/2025,/api/v2/service6,UniCA,3072,TLS1.2
CERT-1087,30/04/2024,22/11/2025,revoked,23/09/2025,/api/v4/service40,GlobalTrust CA,3072,TLS1.2
CERT-1088,27/04/2024,28/11/2025,revoked,03/09/2025,/api/v3/service15,SecureSign CA,3072,TLS1.2
CERT-1089,27/05/2024,24/01/2025,active,,/api/v1/service50,NetSecure CA,2048,TLS1.3
CERT-1090,19/01/2024,21/05/2025,active,,/api/v3/service23,UniCA,3072,TLS1.3
CERT-1091,30/05/2024,17/04/2026,revoked,11/02/2026,/api/v1/service2,UniCA,4096,TLS1.3
CERT-1092,05/06/2024,27/05/2026,active,,/api/v1/service3,NetSecure CA,2048,TLS1.2
CERT-1093,11/04/2024,25/02/2026,active,,/api/v4/service33,SecureSign CA,4096,TLS1.2
CERT-1094,01/05/2024,25/03/2026,revoked,03/01/2026,/api/v5/service40,UniCA,2048,TLS1.3
CERT-1095,03/03/2024,13/07/2025,active,,/api/v2/service22,UniCA,4096,TLS1.3
CERT-1096,20/02/2024,06/04/2025,active,,/api/v2/service47,SecureSign CA,2048,TLS1.2
CERT-1097,21/04/2024,05/07/2025,active,,/api/v4/service14,GlobalTrust CA,3072,TLS1.3
CERT-1098,03/04/2024,28/11/2024,active,,/api/v1/service33,UniCA,3072,TLS1.2
CERT-1099,13/03/2024,23/05/2025,active,,/api/v4/service37,UniCA,2048,TLS1.2
CERT-1100,20/02/2024,05/12/2024,active,,/api/v1/service2,UniCA,4096,TLS1.3
CERT-1101,30/01/2024,28/05/2025,active,,/api/v5/service44,GlobalTrust CA,2048,TLS1.3
CERT-1102,02/03/2024,24/08/2025,revoked,05/06/2025,/api/v1/service7,GlobalTrust CA,3072,TLS1.2
CERT-1103,03/03/2024,05/08/2025,active,,/api/v5/service29,PrimeCA,2048,TLS1.2
CERT-1104,03/05/2024,13/09/2025,active,,/api/v4/service1,GlobalTrust CA,4096,TLS1.3
CERT-1105,24/05/2024,09/01/2025,revoked,15/10/2024,/api/v1/service48,GlobalTrust CA,2048,TLS1.3
CERT-1106,19/02/2024,12/04/2025,active,,/api/v1/service39,SecureSign CA,4096,TLS1.3
CERT-1107,20/06/2024,22/07/2025,active,,/api/v4/service37,SecureSign CA,3072,TLS1.3
CERT-1108,03/04/2024,31/01/2026,active,,/api/v5/service30,NetSecure CA,4096,TLS1.3
CERT-1109,15/02/2024,28/06/2025,revoked,03/06/2025,/api/v2/service4,GlobalTrust CA,3072,TLS1.3
CERT-1110,13/03/2024,17/04/2025,active,,/api/v3/service30,GlobalTrust CA,2048,TLS1.3
CERT-1111,24/04/2024,23/03/2025,active,,/api/v1/service20,NetSecure CA,3072,TLS1.2
CERT-1112,30/06/2024,25/04/2026,revoked,19/03/2026,/api/v1/service33,UniCA,2048,TLS1.3
CERT-1113,26/03/2024,10/07/2025,active,,/api/v1/service8,GlobalTrust CA,3072,TLS1.3
CERT-1114,12/04/2024,14/08/2025,active,,/api/v4/service29,SecureSign CA,2048,TLS1.2
CERT-1115,07/01/2024,12/08/2025,active,,/api/v3/service1,UniCA,4096,TLS1.3
CERT-1116,29/06/2024,06/04/2025,active,,/api/v3/service46,NetSecure CA,4096,TLS1.3
CERT-1117,28/03/2024,31/12/2025,active,,/api/v1/service12,PrimeCA,2048,TLS1.2
CERT-1118,01/02/2024,28/05/2025,active,,/api/v1/service22,PrimeCA,4096,TLS1.2
CERT-1119,28/05/2024,13/05/2025,active,,/api/v1/service7,PrimeCA,3072,TLS1.3
CERT-1120,11/05/2024,02/11/2025,active,,/api/v5/service9,UniCA,3072,TLS1.3
CERT-1121,19/01/2024,12/05/2025,active,,/api/v2/service1,PrimeCA,2048,TLS1.2
CERT-1122,22/05/2024,09/02/2026,active,,/api/v5/service5,SecureSign CA,4096,TLS1.3
CERT-1123,23/04/2024,10/12/2024,active,,/api/v5/service49,SecureSign CA,2048,TLS1.3
CERT-1124,13/05/2024,11/01/2026,revoked,02/01/2026,/api/v5/service16,PrimeCA,4096,TLS1.2
CERT-1125,15/01/2024,14/12/2025,revoked,24/11/2025,/api/v3/service20,UniCA,2048,TLS1.3
CERT-1126,11/05/2024,02/02/2025,revoked,06/11/2024,/api/v3/service17,UniCA,3072,TLS1.3
CERT-1127,18/07/2024,05/10/2025,active,,/api/v3/service33,SecureSign CA,4096,TLS1.2
CERT-1128,06/07/2024,18/07/2025,revoked,14/06/2025,/api/v5/service38,GlobalTrust CA,2048,TLS1.3
CERT-1129,09/01/2024,01/09/2025,revoked,25/07/2025,/api/v2/service20,NetSecure CA,2048,TLS1.2
CERT-1130,10/02/2024,14/03/2025,active,,/api/v2/service12,PrimeCA,3072,TLS1.3
CERT-1131,16/06/2024,15/04/2026,active,,/api/v4/service23,NetSecure CA,2048,TLS1.3
CERT-1132,08/03/2024,21/11/2024,active,,/api/v1/service50,SecureSign CA,2048,TLS1.2
CERT-1133,05/01/2024,25/10/2024,revoked,01/08/2024,/api/v5/service27,NetSecure CA,3072,TLS1.3
CERT-1134,30/03/2024,06/04/2025,active,,/api/v2/service1,PrimeCA,3072,TLS1.3
CERT-1135,06/03/2024,21/01/2026,revoked,08/12/2025,/api/v5/service49,PrimeCA,3072,TLS1.3
CERT-1136,04/01/2024,04/11/2024,revoked,09/09/2024,/api/v1/service43,UniCA,3072,TLS1.3
CERT-1137,25/01/2024,05/01/2026,active,,/api/v2/service23,SecureSign CA,4096,TLS1.2
CERT-1138,04/07/2024,01/05/2025,active,,/api/v2/service47,SecureSign CA,4096,TLS1.2
CERT-1139,17/04/2024,22/12/2025,active,,/api/v2/service13,PrimeCA,4096,TLS1.3
CERT-1140,25/04/2024,19/02/2025,active,,/api/v5/service28,SecureSign CA,3072,TLS1.3
CERT-1141,05/03/2024,19/02/2025,revoked,25/12/2024,/api/v2/service31,UniCA,4096,TLS1.2
CERT-1142,02/01/2024,08/07/2025,active,,/api/v5/service40,PrimeCA,3072,TLS1.3
CERT-1143,24/02/2024,03/11/2024,revoked,24/10/2024,/api/v5/service7,PrimeCA,4096,TLS1.2
CERT-1144,20/06/2024,07/08/2025,revoked,06/06/2025,/api/v1/service5,SecureSign CA,3072,TLS1.2
CERT-1145,28/03/2024,19/01/2026,revoked,15/01/2026,/api/v3/service27,GlobalTrust CA,3072,TLS1.2
CERT-1146,15/02/2024,11/09/2025,active,,/api/v2/service7,SecureSign CA,2048,TLS1.3
CERT-1147,07/07/2024,23/09/2025,revoked,24/07/2025,/api/v2/service44,PrimeCA,3072,TLS1.2
CERT-1148,10/03/2024,01/02/2025,active,,/api/v5/service33,SecureSign CA,3072,TLS1.3
CERT-1149,02/02/2024,24/08/2024,active,,/api/v5/service49,PrimeCA,3072,TLS1.2
CERT-1150,11/01/2024,29/10/2024,revoked,17/09/2024,/api/v2/service41,PrimeCA,2048,TLS1.3
CERT-1151,29/03/2024,25/03/2025,active,,/api/v2/service43,UniCA,2048,TLS1.2
CERT-1152,30/01/2024,18/09/2024,revoked,08/09/2024,/api/v1/service14,GlobalTrust CA,3072,TLS1.3
CERT-1153,21/03/2024,11/02/2026,revoked,04/01/2026,/api/v5/service41,UniCA,2048,TLS1.3
CERT-1154,03/06/2024,15/04/2025,revoked,02/02/2025,/api/v2/service18,PrimeCA,3072,TLS1.2
CERT-1155,08/05/2024,25/02/2025,active,,/api/v2/service48,PrimeCA,2048,TLS1.2
CERT-1156,10/02/2024,26/08/2024,revoked,10/06/2024,/api/v5/service1,UniCA,3072,TLS1.2
CERT-1157,22/05/2024,26/01/2025,revoked,12/12/2024,/api/v4/service41,NetSecure CA,3072,TLS1.2
CERT-1158,09/01/2024,19/04/2025,revoked,16/03/2025,/api/v1/service15,NetSecure CA,3072,TLS1.2
CERT-1159,27/02/2024,22/12/2025,active,,/api/v3/service29,SecureSign CA,4096,TLS1.3
CERT-1160,14/04/2024,11/05/2025,active,,/api/v4/service10,UniCA,3072,TLS1.2
CERT-1161,21/04/2024,29/06/2025,revoked,03/04/2025,/api/v1/service16,UniCA,4096,TLS1.2
CERT-1162,15/02/2024,26/12/2024,revoked,08/11/2024,/api/v2/service13,NetSecure CA,3072,TLS1.2
CERT-1163,11/06/2024,21/01/2025,active,,/api/v2/service18,UniCA,3072,TLS1.3
CERT-1164,23/04/2024,29/10/2024,revoked,05/08/2024,/api/v2/service30,UniCA,3072,TLS1.2
CERT-1165,07/02/2024,18/01/2025,active,,/api/v3/service17,UniCA,3072,TLS1.3
CERT-1166,11/04/2024,06/04/2026,revoked,21/01/2026,/api/v5/service47,PrimeCA,2048,TLS1.2
CERT-1167,14/01/2024,04/08/2024,active,,/api/v2/service10,PrimeCA,3072,TLS1.3
CERT-1168,12/07/2024,31/03/2025,revoked,12/01/2025,/api/v3/service5,UniCA,2048,TLS1.2
CERT-1169,01/02/2024,17/12/2025,revoked,03/11/2025,/api/v5/service38,PrimeCA,3072,TLS1.2
CERT-1170,20/02/2024,18/12/2024,revoked,22/10/2024,/api/v2/service20,GlobalTrust CA,2048,TLS1.2
CERT-1171,14/01/2024,20/11/2024,active,,/api/v4/service45,UniCA,4096,TLS1.2
CERT-1172,04/01/2024,23/12/2025,revoked,08/10/2025,/api/v3/service23,SecureSign CA,4096,TLS1.3
CERT-1173,14/01/2024,06/08/2024,revoked,11/07/2024,/api/v3/service45,PrimeCA,2048,TLS1.2
CERT-1174,04/04/2024,13/05/2025,revoked,25/03/2025,/api/v4/service49,NetSecure CA,4096,TLS1.3
CERT-1175,14/05/2024,17/03/2026,active,,/api/v3/service29,UniCA,2048,TLS1.2
CERT-1176,19/04/2024,18/01/2025,active,,/api/v4/service28,SecureSign CA,2048,TLS1.3
CERT-1177,04/03/2024,23/01/2026,active,,/api/v2/service23,UniCA,2048,TLS1.2
CERT-1178,24/02/2024,15/02/2026,active,,/api/v5/service13,NetSecure CA,3072,TLS1.3
CERT-1179,24/05/2024,03/06/2025,revoked,30/04/2025,/api/v1/service20,PrimeCA,2048,TLS1.3
CERT-1180,12/05/2024,04/10/2025,revoked,29/08/2025,/api/v5/service12,SecureSign CA,4096,TLS1.2
CERT-1181,12/02/2024,21/09/2024,revoked,29/08/2024,/api/v5/service10,SecureSign CA,3072,TLS1.2
CERT-1182,29/01/2024,04/09/2025,active,,/api/v3/service39,NetSecure CA,4096,TLS1.2
CERT-1183,26/04/2024,23/03/2025,revoked,01/02/2025,/api/v4/service16,SecureSign CA,2048,TLS1.2
CERT-1184,16/07/2024,07/04/2025,revoked,29/03/2025,/api/v2/service49,GlobalTrust CA,4096,TLS1.2
CERT-1185,04/04/2024,08/09/2025,active,,/api/v4/service37,PrimeCA,4096,TLS1.3
CERT-1186,14/01/2024,26/07/2024,revoked,22/05/2024,/api/v5/service3,PrimeCA,2048,TLS1.3
CERT-1187,16/03/2024,30/09/2025,active,,/api/v2/service32,SecureSign CA,4096,TLS1.2
CERT-1188,05/03/2024,06/12/2025,revoked,18/10/2025,/api/v5/service17,SecureSign CA,4096,TLS1.3
CERT-1189,09/05/2024,08/01/2025,revoked,11/10/2024,/api/v2/service28,SecureSign CA,4096,TLS1.2
CERT-1190,09/03/2024,13/08/2025,revoked,27/06/2025,/api/v5/service20,GlobalTrust CA,3072,TLS1.2
CERT-1191,03/02/2024,08/01/2026,revoked,02/12/2025,/api/v1/service7,NetSecure CA,3072,TLS1.3
CERT-1192,18/02/2024,15/04/2025,revoked,10/02/2025,/api/v3/service10,PrimeCA,2048,TLS1.2
CERT-1193,16/05/2024,25/03/2026,revoked,12/01/2026,/api/v1/service50,NetSecure CA,4096,TLS1.3
CERT-1194,24/05/2024,10/03/2025,active,,/api/v1/service42,PrimeCA,4096,TLS1.3
CERT-1195,04/02/2024,21/01/2026,active,,/api/v5/service27,NetSecure CA,4096,TLS1.3
CERT-1196,10/03/2024,28/11/2025,revoked,26/09/2025,/api/v2/service2,GlobalTrust CA,4096,TLS1.2
CERT-1197,11/04/2024,11/02/2025,revoked,28/12/2024,/api/v3/service40,GlobalTrust CA,3072,TLS1.2
CERT-1198,04/04/2024,14/10/2025,revoked,18/09/2025,/api/v3/service33,GlobalTrust CA,2048,TLS1.2
CERT-1199,19/06/2024,30/03/2026,revoked,03/02/2026,/api/v3/service4,NetSecure CA,3072,TLS1.3
CERT-1200,23/06/2024,31/01/2025,active,,/api/v2/service10,GlobalTrust CA,4096,TLS1.3
CERT-1201,05/01/2024,02/09/2025,revoked,27/06/2025,/api/v1/service9,UniCA,3072,TLS1.3
CERT-1202,13/07/2024,15/06/2026,revoked,30/04/2026,/api/v1/service24,PrimeCA,2048,TLS1.3
CERT-1203,21/04/2024,21/03/2026,revoked,28/01/2026,/api/v1/service39,UniCA,2048,TLS1.2
CERT-1204,27/06/2024,22/06/2025,active,,/api/v2/service34,GlobalTrust CA,4096,TLS1.3
CERT-1205,20/06/2024,18/07/2025,revoked,09/05/2025,/api/v4/service39,UniCA,2048,TLS1.2
CERT-1206,02/06/2024,10/04/2025,active,,/api/v3/service45,SecureSign CA,3072,TLS1.2
CERT-1207,30/01/2024,02/06/2025,active,,/api/v1/service8,PrimeCA,4096,TLS1.2
CERT-1208,21/01/2024,23/05/2025,active,,/api/v1/service8,PrimeCA,4096,TLS1.2
CERT-1209,19/01/2024,22/09/2024,revoked,22/07/2024,/api/v5/service20,GlobalTrust CA,2048,TLS1.2
CERT-1210,10/01/2024,15/07/2024,revoked,27/06/2024,/api/v3/service12,UniCA,3072,TLS1.2
CERT-1211,18/04/2024,04/03/2026,active,,/api/v4/service2,NetSecure CA,2048,TLS1.2
CERT-1212,08/04/2024,08/08/2025,active,,/api/v4/service17,GlobalTrust CA,3072,TLS1.2
CERT-1213,01/01/2024,12/10/2024,active,,/api/v1/service12,PrimeCA,3072,TLS1.2
CERT-1214,28/03/2024,18/11/2025,revoked,24/10/2025,/api/v3/service5,GlobalTrust CA,3072,TLS1.3
CERT-1215,02/04/2024,11/03/2026,revoked,04/01/2026,/api/v3/service26,UniCA,4096,TLS1.2
CERT-1216,26/02/2024,02/07/2025,active,,/api/v2/service41,GlobalTrust CA,3072,TLS1.3
CERT-1217,28/02/2024,07/04/2025,revoked,08/02/2025,/api/v2/service8,NetSecure CA,3072,TLS1.3
CERT-1218,30/04/2024,10/04/2026,active,,/api/v4/service20,SecureSign CA,2048,TLS1.2
CERT-1219,27/01/2024,06/09/2024,revoked,31/07/2024,/api/v4/service11,UniCA,3072,TLS1.3
CERT-1220,06/06/2024,05/10/2025,active,,/api/v3/service49,SecureSign CA,2048,TLS1.3
CERT-1221,02/01/2024,28/07/2024,active,,/api/v3/service23,UniCA,2048,TLS1.3
CERT-1222,31/03/2024,22/05/2025,revoked,09/04/2025,/api/v4/service43,NetSecure CA,2048,TLS1.2
CERT-1223,10/03/2024,13/10/2025,revoked,22/08/2025,/api/v1/service19,SecureSign CA,4096,TLS1.2
CERT-1224,27/06/2024,28/02/2025,active,,/api/v2/service34,UniCA,2048,TLS1.2
CERT-1225,24/01/2024,26/06/2025,active,,/api/v4/service1,NetSecure CA,2048,TLS1.2
CERT-1226,15/04/2024,27/02/2026,active,,/api/v1/service23,PrimeCA,2048,TLS1.3
CERT-1227,19/03/2024,28/11/2025,revoked,14/09/2025,/api/v1/service24,UniCA,4096,TLS1.2
CERT-1228,20/06/2024,01/05/2026,active,,/api/v3/service26,UniCA,3072,TLS1.3
CERT-1229,12/07/2024,01/04/2025,revoked,10/02/2025,/api/v5/service44,NetSecure CA,4096,TLS1.2
CERT-1230,10/02/2024,07/09/2025,active,,/api/v2/service15,PrimeCA,3072,TLS1.3
CERT-1231,04/01/2024,19/11/2024,revoked,05/09/2024,/api/v2/service11,PrimeCA,2048,TLS1.2
CERT-1232,28/06/2024,07/05/2025,active,,/api/v3/service22,GlobalTrust CA,3072,TLS1.2
CERT-1233,29/04/2024,17/04/2026,active,,/api/v1/service49,GlobalTrust CA,4096,TLS1.2
CERT-1234,14/02/2024,20/06/2025,active,,/api/v2/service28,SecureSign CA,4096,TLS1.2
CERT-1235,25/06/2024,19/12/2025,active,,/api/v1/service7,UniCA,2048,TLS1.2
CERT-1236,13/07/2024,19/12/2025,revoked,14/10/2025,/api/v3/service17,UniCA,2048,TLS1.2
CERT-1237,31/05/2024,27/02/2026,active,,/api/v1/service22,PrimeCA,2048,TLS1.2
CERT-1238,24/06/2024,19/03/2025,revoked,07/01/2025,/api/v1/service2,SecureSign CA,2048,TLS1.3
CERT-1239,26/02/2024,11/11/2025,revoked,03/11/2025,/api/v1/service44,NetSecure CA,4096,TLS1.3
CERT-1240,14/07/2024,02/01/2026,active,,/api/v2/service43,PrimeCA,4096,TLS1.2
CERT-1241,04/01/2024,29/06/2025,active,,/api/v4/service34,PrimeCA,4096,TLS1.2
CERT-1242,25/05/2024,08/02/2025,active,,/api/v2/service24,NetSecure CA,3072,TLS1.3
CERT-1243,01/07/2024,20/11/2025,active,,/api/v3/service7,SecureSign CA,3072,TLS1.3
CERT-1244,24/03/2024,18/03/2025,active,,/api/v1/service39,SecureSign CA,2048,TLS1.3
CERT-1245,15/01/2024,05/02/2025,active,,/api/v5/service41,PrimeCA,2048,TLS1.2
CERT-1246,02/01/2024,09/07/2024,active,,/api/v4/service45,NetSecure CA,3072,TLS1.3
CERT-1247,15/01/2024,19/09/2024,revoked,09/08/2024,/api/v1/service18,NetSecure CA,2048,TLS1.2
CERT-1248,14/03/2024,12/12/2024,revoked,15/10/2024,/api/v1/service42,UniCA,2048,TLS1.3
CERT-1249,28/01/2024,12/08/2025,active,,/api/v3/service11,NetSecure CA,4096,TLS1.2
CERT-1250,18/04/2024,02/06/2025,active,,/api/v4/service32,GlobalTrust CA,4096,TLS1.3
CERT-1251,10/04/2024,02/01/2025,active,,/api/v4/service39,PrimeCA,4096,TLS1.3
CERT-1252,21/06/2024,23/01/2025,active,,/api/v5/service38,GlobalTrust CA,4096,TLS1.2
CERT-1253,20/01/2024,01/07/2025,active,,/api/v2/service45,GlobalTrust CA,3072,TLS1.3
CERT-1254,08/04/2024,07/11/2024,active,,/api/v1/service1,GlobalTrust CA,4096,TLS1.2
CERT-1255,21/02/2024,05/10/2024,revoked,10/09/2024,/api/v4/service50,PrimeCA,2048,TLS1.3
